model,operating_point,seed,mAP50,mAP50_95,precision,recall
YOLO11m,bull_fs100,42,0.727949124347615,0.42450263783415354,0.9533706449231584,0.7224207595942491
YOLO11m,bull_fs100,2024,0.7279288429177935,0.426778716778552,0.9525621513351197,0.7228582708251086
YOLO26m,bull_fs100,42,0.7286119139879872,0.438735906495623,0.949826671969965,0.7212130595162286
YOLO26m,bull_fs100,2024,0.7285983910367247,0.4393019443034681,0.9479469229628558,0.7225509784664538
YOLO26n,bull_fs100,42,0.7075755212674417,0.39255072403902924,0.9321753748808406,0.6914725621792341
YOLO26n,bull_fs100,2024,0.7075024470702114,0.3948993837184092,0.9257283577919977,0.693816250276124
YOLOv8m,bull_fs100,42,0.7274120589187392,0.4308615825213436,0.9448804069038287,0.7173672084436614
YOLOv8m,bull_fs100,2024,0.7263793696575702,0.4318638887533802,0.9538238520944226,0.7135482504879112
YOLO11m,bull_fs20,42,0.6783306056977831,0.24065942746528507,0.8997964089794088,0.6863403079352547
YOLO11m,bull_fs20,123,0.6864069651180527,0.24145592047142572,0.9006139196476438,0.6868772580365987
YOLO11m,bull_fs20,2024,0.6873370579081042,0.24500738718957282,0.9006970746278198,0.6879194630872483
YOLO26m,bull_fs20,42,0.6908427936515384,0.32729276100620763,0.9195936234234425,0.6896960126332412
YOLO26m,bull_fs20,123,0.6914314875473513,0.3159218411960209,0.9146512198094242,0.6959674325745046
YOLO26m,bull_fs20,2024,0.6921324499326191,0.3271704488632391,0.9207645682107857,0.6927410689810866
YOLO26n,bull_fs20,42,0.6508355484890852,0.22983896385108532,0.8801676628797004,0.6490327674694039
YOLO26n,bull_fs20,123,0.6525191853638628,0.23619778031485716,0.8802840124178681,0.6502546937710002
YOLO26n,bull_fs20,2024,0.6531670485980408,0.23745231257735328,0.8824238517075107,0.6508093170153968
YOLOv8m,bull_fs20,42,0.6794620033599745,0.23981611578885037,0.9111447895585159,0.6754836162652981
YOLOv8m,bull_fs20,123,0.6887115432045683,0.2532691789004945,0.9130430776601883,0.6823924200552705
YOLOv8m,bull_fs20,2024,0.7059536220181069,0.2950416249720891,0.9249530221787121,0.6860731110021019
YOLO11m,bull_fs50,42,0.7014572085141669,0.35486204273864674,0.9281574498088222,0.7025266482431899
YOLO11m,bull_fs50,2024,0.7007372575223868,0.356603214416804,0.9281959531984546,0.7013422818791947
YOLO26m,bull_fs50,42,0.7213828714808854,0.38775166930779026,0.9447462254636659,0.7053981605993801
YOLO26m,bull_fs50,2024,0.721526955263234,0.38739735560751176,0.9425732536084076,0.7063048896207351
YOLO26n,bull_fs50,42,0.6970025423311463,0.35545447197527275,0.9229236647732291,0.685452785668982
YOLO26n,bull_fs50,2024,0.6947038871157012,0.3535172662342861,0.9210829681078779,0.6835767864192657
YOLOv8m,bull_fs50,42,0.7073924246225752,0.3646866391229431,0.9260567194995548,0.696012633241216
YOLOv8m,bull_fs50,2024,0.7022131314127342,0.36777688070700043,0.9218159050629996,0.6958758964778523
YOLO11m,bull_zs,42,0.29042642716499917,0.08140106407729102,0.5420282482494464,0.39983444622261466
YOLO11m,bull_zs,123,0.4661497450982983,0.12212631652167008,0.7092732101039725,0.5235472656034436
YOLO11m,bull_zs,2024,0.04303020683088723,0.009584719703170572,0.22579129119924804,0.12195794934054412
YOLO26m,bull_zs,42,0.37368933118667325,0.11733993920713744,0.6019852524106637,0.4685392638375366
YOLO26m,bull_zs,123,0.38773541021440644,0.11959521272530423,0.6677865733922435,0.480426025053805
YOLO26m,bull_zs,2024,0.4942978103326996,0.1241390827960189,0.6768568926790269,0.5886761216268418
YOLO26n,bull_zs,42,0.4743993976690377,0.14456896850441278,0.769885002832223,0.5317697698802495
YOLO26n,bull_zs,123,0.3997566603006655,0.11557653828504129,0.5869369426509203,0.5106782186413553
YOLO26n,bull_zs,2024,0.1545996564154581,0.038740826101645684,0.4033765001017018,0.32831521439214173
YOLOv8m,bull_zs,42,0.14657780599313505,0.03912579124394385,0.4374683543706474,0.24883836432867942
YOLOv8m,bull_zs,123,0.24301500075072846,0.06727846850861864,0.5511251401253872,0.3017824623365156
YOLOv8m,bull_zs,2024,0.44931446956457965,0.11906724159455698,0.6106344547301874,0.5372882291264279
YOLO11m,source_val,42,0.9710045965020129,0.6315746585189095,0.9185282607868718,0.9534043512810966
YOLO11m,source_val,123,0.9712272413972559,0.6221834285600932,0.9232827398650272,0.9518792262934423
YOLO11m,source_val,2024,0.9686494596453324,0.6159587931935763,0.908296579694651,0.9655999370970278
YOLO26m,source_val,42,0.9827253348244331,0.6209088544403707,0.9523809249309396,0.9467683598050007
YOLO26m,source_val,123,0.9778442681775978,0.627613217069714,0.946489059841035,0.9622189023431357
YOLO26m,source_val,2024,0.9862998456101483,0.643519126775291,0.9689329806588541,0.9513288252869948
YOLO26n,source_val,42,0.9736404919818816,0.6103224080493381,0.9249463978279086,0.9536090580279918
YOLO26n,source_val,123,0.9691807302728508,0.6088154446723562,0.9103784088969025,0.9520652944323644
YOLO26n,source_val,2024,0.9707181458387343,0.6205758677355472,0.9447432434814758,0.9188944802641925
YOLOv8m,source_val,42,0.9827537375702982,0.6292094417016693,0.9684364226633554,0.9396660521670485
YOLOv8m,source_val,123,0.9794797546680893,0.6352702958201156,0.952841088601863,0.9313964459820726
YOLOv8m,source_val,2024,0.9854491667818338,0.6430306691887765,0.9720240547201849,0.9444488127064004
